,const_flow,const_order,const_growth,civil_engine,estimated_construction
2018-03-31,-0.053,0.46299999999999997,-0.035,-0.098,-0.014591119191460056
2018-04-30,0.003,-0.371,0.028999999999999998,-0.077,0.0011290270936181734
2018-05-31,-0.022000000000000002,0.193,0.008,-0.109,-0.01178893561937544
2018-06-30,-0.051,-0.102,-0.025,-0.11800000000000001,-0.02673007269705807
2018-07-31,-0.042,0.23199999999999998,-0.04,-0.05,-0.038333590360163816
2018-08-31,-0.038,-0.292,-0.049,-0.002,-0.02859908380477716
2018-09-30,-0.16899999999999998,-0.12400000000000001,-0.157,-0.204,-0.03555198029646256
2018-10-31,-0.017,0.1,-0.011000000000000001,-0.037000000000000005,-0.00037426137941887205
2018-11-30,-0.095,0.036000000000000004,-0.109,-0.05,-0.02484712314319326
2018-12-31,-0.09,0.053,-0.09,-0.09,-0.029479925177654298
2019-01-31,-0.062000000000000006,-0.278,-0.051,-0.099,-0.03066063291829746
2019-02-28,-0.087,-0.179,-0.06,-0.171,-0.022044898960701165
2019-03-31,-0.034,0.374,-0.035,-0.03,-0.008121329825204082
2019-04-30,-0.048,0.371,-0.07200000000000001,0.035,-0.0044171514646786925
2019-05-31,-0.013999999999999999,-0.267,-0.034,0.049,-0.0014894954361004409
2019-06-30,-0.01,-0.004,-0.039,0.073,-0.005481996122653765
2019-07-31,-0.038,-0.23,-0.057,0.025,-0.011543638835391778
2019-08-31,-0.036000000000000004,-0.077,-0.07400000000000001,0.092,-0.006121980990761333
2019-09-30,-0.027000000000000003,0.34299999999999997,-0.071,0.11199999999999999,0.002328366169106255
2019-10-31,0.004,0.423,-0.042,0.16399999999999998,0.014904124087129711
2019-11-30,-0.006999999999999999,0.153,-0.057,0.14400000000000002,0.016286512360180083
2019-12-31,0.055999999999999994,0.239,-0.004,0.196,0.02917985167079884
2020-01-31,-0.057,0.08,-0.1,0.09,0.016358405374422347
2020-02-29,0.06,0.38799999999999996,-0.019,0.34500000000000003,0.02245881750996892
2020-03-31,0.036000000000000004,-0.251,-0.004,0.142,0.017360933155018188
2020-04-30,-0.025,-0.32,-0.071,0.11800000000000001,-0.002497617882405656
2020-05-31,-0.055,0.373,-0.087,0.043,-0.003880109067624371
2020-06-30,-0.027999999999999997,0.8270000000000001,-0.057,0.048,0.0030723879624601214
2020-07-31,-0.017,0.758,-0.049,0.078,0.006033946585161987
2020-08-31,-0.098,0.509,-0.107,-0.075,-0.009560452657267238
2020-09-30,0.051,0.077,0.043,0.07,0.013754398701751658
2020-10-31,-0.086,-0.08199999999999999,-0.095,-0.062000000000000006,-0.016628497747893434
2020-11-30,0.016,0.313,0.026000000000000002,-0.01,0.006528715044037625
2020-12-31,-0.027999999999999997,0.085,-0.039,-0.006999999999999999,-0.00512028159063016
2021-01-31,-0.09300000000000001,0.27899999999999997,-0.086,-0.113,-0.013442503688174678
2021-02-28,-0.1,0.134,-0.086,-0.138,-0.012079076793822363
2021-03-31,-0.075,0.369,-0.065,-0.09699999999999999,-0.006802487210609165
2021-04-30,-0.054000000000000006,1.062,-0.017,-0.152,0.0035898069809401356
2021-05-31,-0.087,0.098,-0.053,-0.177,-0.004568152541742698
2021-06-30,-0.075,-0.11900000000000001,-0.069,-0.09,-0.008949064644293792
2021-07-31,-0.1,0.012,-0.053,-0.227,-0.007204550139011445
2021-08-31,-0.022000000000000002,0.237,0.019,-0.135,0.005176711080616236
2021-09-30,-0.113,-0.10400000000000001,-0.06,-0.25,-0.011273489913866896
2021-10-31,-0.021,0.10800000000000001,0.006999999999999999,-0.09699999999999999,0.00018972090681956821
2021-11-30,-0.079,-0.048,-0.013000000000000001,-0.249,-0.011074697774987596
2021-12-31,0.0,-0.08199999999999999,0.053,-0.098,-0.0060494984233661064
2022-01-31,0.05,0.257,0.077,-0.027999999999999997,-0.009348293662717166
2022-02-28,-0.043,-0.038,-0.01,-0.134,-0.021394861457746606
2022-03-31,-0.051,0.159,-0.026000000000000002,-0.111,-0.01999170147463558
2022-04-30,-0.025,0.021,-0.032,-0.003,-0.01675051826460172
2022-05-31,0.075,0.26,0.086,0.044000000000000004,0.0034345921734486584
2022-06-30,0.012,0.38799999999999996,0.039,-0.055,-0.0062393651460741495
2022-07-31,0.012,0.267,0.040999999999999995,-0.081,-0.007088634812786987
2022-08-31,0.054000000000000006,0.113,0.052000000000000005,0.057,-0.008429552820230057
2022-09-30,0.039,0.562,0.046,0.015,-0.01283085180247956
2022-10-31,0.094,-0.359,0.129,-0.012,-0.002155542315216863
2022-11-30,0.11800000000000001,-0.084,0.10400000000000001,0.16399999999999998,-0.00088163514247519
2022-12-31,0.004,-0.125,0.004,0.003,-0.011678846344209903
2023-01-31,0.036000000000000004,0.19100000000000003,0.069,-0.07,0.005275732553536194
2023-02-28,0.195,-0.035,0.251,0.013999999999999999,0.029741350615872353
2023-03-31,0.121,-0.41000000000000003,0.14400000000000002,0.059000000000000004,0.005929428938542092
2023-04-30,0.12400000000000001,-0.469,0.163,0.009000000000000001,0.002575850055769102
2023-05-31,0.057,-0.188,0.08,-0.016,-0.004694666354733812
2023-06-30,0.08800000000000001,-0.298,0.139,-0.045,0.011061574049203493
2023-07-31,0.102,-0.488,0.128,0.004,0.015981264130785044
2023-08-31,0.10800000000000001,-0.534,0.14,0.003,0.019166200928205868
2023-09-30,0.145,-0.441,0.113,0.253,0.01629532400755962
